Popularity,Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Director,Stars,Certificate
11215,Battle Cry of Freedom,Action,,,,2022,,,"Simon Christian, Fergus O'Connell, Krystal Romero",
11216,The Ren & Stimpy Show: Buckeroo$!,"Action, Adventure, Comedy",3.3,17,,1993,,,Jay Bacal,K-A
11217,First Jump,Action,6.1,23,,2020,,,nan,
11218,Bid for Power,"Action, Adventure, Fantasy",7.9,16,,2000,,,nan,E
11219,Space Command,"Action, Sci-Fi",,,,1979,,,nan,
11220,Katori fôebâ,Action,,,,2014,,,nan,
11221,Retrovirus,"Action, Sci-Fi",,,,2013,"After a deadly virus crashes into the mainframe, the Agent is activated to hunt it down and save the system.",,"Zen Josey, Nick Mazmanian",
11222,Panzer Dragoon II Zwei,Action,8.6,98,,1996,,,nan,K-A
11223,Kuri Kinton,"Action, Crime",5.7,13,,1988,,,nan,
11224,Dragon Age: Origins - The Darkspawn Chronicles,"Action, Adventure, Fantasy",6,28,,2010,"In a universe where you - the player - never became the Grey Warden, the Darkspawn managed to successfully take over the world of Thedas.",,"Mark Darrah, Dan Tudge",M
11225,Thunder Blade,Action,6.5,28,,1987,"A shooter arcade game where the player controls the helicopter and flies to towards the enemies as the player has to shoot at the enemies with the machine gun and launch missiles at enemy tanks, ships, aircraft while dodging enemy fire.",,nan,
11226,Tom & Jerry: The Movie,Action,6.4,8,,1992,,,nan,GA
11227,MegaRace 3,"Action, Sci-Fi, Sport",,,,2002,"Legendary insane TV host Lance Boyle is back with his hit show MegaRace and the stakes are higher than ever. If the player fails to win a series of futuristic pod-races, Lance might just destroy the city where the game is played.","Jean-Martial Lefranc, Philippe Ulrich,",Christian Erickson,E
11228,Portraits,Action,,,,1983,,,Livio Leante,
11229,Evoland 2,"Action, Adventure, Fantasy",7.9,47,,2015,,,nan,E10+
11230,Yellow Brick Road,"Action, Adventure, Fantasy",,,,1996,A tactical turn-based strategy game with adventure elements that's inspired by the books about Oz by L. Frank Baum. You need to stop the invading forces of the Gnome King before they reach the Emerald City. Various Oz characters help you.,,Hiroyuki Miura,
11231,Battlehand,"Action, Fantasy",,,,2016,,,nan,
11232,Isekai Eternal,"Action, Adventure, Fantasy",,,,2022,Isekai Eternal is a MOBA game with anime-themed champions summoned from 6 different worlds to fight in the Isekai Wars.,,nan,
11233,The Day of Sagittarius III Drill Edition,Action,,,,2010,,,nan,
11234,ArmA 3: Jets,Action,,,,2017,,,nan,
11235,BlackShot,Action,,,,2010,,,nan,
11236,After School Valkyrie,Action,,,,2016,,,nan,
11237,Yuugiou faibu dizu tagu fosu 6,Action,,,,2011,,,nan,
11238,Assault Suits Valken,"Action, Adventure, Fantasy",7.3,33,,1992,"When Earth's fossil fuels have begun to dwindle, pilot Jake Brain is drafted into the Pacific States' Marine Corp to fight in a war engulfing the entire world.",,nan,T
11239,Case Clicker,Action,,,,2017,"Welcome to Case Clicker, Roblox's premier clicker and unboxing game since 2017.",,nan,
11240,"Burn, Zombie Burn!",Action,,,,2009,"The goal is simple: you have to keep Bruce alive who is trying to protect Daisy while collecting as many points as possible. Only the smelly, rotten and stupid zombies stand in the way.",,Jim Mummery,
11241,Frisky Tom,"Action, Family",3,12,,1981,,,nan,
11242,Kinect Fun Labs: Kinect Me,Action,,,,2011,,,nan,E
11243,Mobile Suit V Gundam,Action,,,,1994,,,nan,
11244,Marathon Infinity,"Action, Sci-Fi",7.9,16,,1996,,,Doug Zartman,
11245,Super Adventure Pals,"Action, Adventure, Comedy",,,,2012,,,nan,E
11246,James Bond 007 Action Pack,"Animation, Action, Adventure",,,,1990,,,Desmond Llewelyn,
11247,Hyperspace,"Action, Sci-Fi",,,,1982,"Hyperspace is an action game in which the players control spaceships. Moving the spaceship to hyperspace, firing missiles, and absorbing hits from enemies all cost energy. Players must find the mothership to refuel before energy runs out and eventually destroy all enemy ships. There are nine sectors in which the mothership can be located and players can use an overview map to find out where it currently is and where enemies can still be found. When playing with two players control is switched between players when using hyperspace. Only one player is active at a time, the other is always in hyperspace.",,nan,
11248,Muppet Adventure: Chaos at the Carnival,"Action, Adventure, Family",3.4,8,,1989,"Miss Piggy has been ""pignapped"" by the sinister Dr. Grump; her Muppet friends come to the rescue. Kermit, Gonzo, Fozzie and three other characters from the children's TV show dash into Grump's mysterious fun fair in search for their pink companion. They must brave five rides in succession in order to take on the Grumpasaurus in the final carnival confrontation.",,nan,
11249,Satan's Hollow,"Action, Fantasy",6.8,26,,1982,Using a trigger joystick you must move your fire-base left and right while shooting bird-like creatures flying at you. Use the segments dropped by the birds to build a bridge across the pit on the right side of the screen to escape and fight Satan.,,nan,Unrated
11250,Super Shot,Action,,,,1979,,,nan,
11251,Hangeki,"Action, Sci-Fi",,,,2014,"Advanced alien invaders have invaded, taken over the sky way, and cut all lines of communication on the planet.","Jaron Kong,","Lily Cha, Lorana Chang, Christian Cisneros, Daniel J. Edwards",
11252,The Garbage Game,Action,,,,2008,,,"Geir Hilmersen, Hanne Lien, Stig Rune Skansgård",
11253,Joy Ride,Action,,,,2019,,,Sunil Jivnani,
11254,Doraemon: Gigazonbi no gyakushuu,Action,,,,1990,,,nan,
11255,Change Lanes,Action,,,,1983,,,nan,
11256,Pure Pinball,Action,,,,2003,,"Björn Larsson,","Sophie Aldred, Csaba Nagy, Harry Ditson, Samantha Coughlan",E
11257,Tenka hyakken: Zan,Action,,,,2017,,,nan,
11258,Burai Fighter,"Action, Sci-Fi",5.4,16,,1990,,,nan,
11259,Sarupyon!,Action,,,,2014,,,nan,
11260,Nightbrake,Action,,,,2017,"A lone driver trapped in Nightbrake County is at the center of a massive police manhunt. With roadblocks on every exit there's no way out, how long can they last?","Josh O'Caoimh,","Kathy Pfautsch, Vincent van Ommen",
11261,Serious Sam: Kamikaze Attack!,"Action, Comedy, Sci-Fi",4.3,8,,2011,,,nan,
11262,Emergency 2014,Action,,,,2013,,"David Riedel,","Andi Krösing, David Masterson",
11263,Super Mario Bros. 4,Action,,,,2010,,,George O'Connor,
11264,Epidemic,"Action, Mystery, Sci-Fi",6.6,10,,1995,A former resistance Captain must return to his duties of fighting the oppressive Byflos Group in order to save the life of his diseased lover.,,"Tôru Ohkawa, Atsuko Tanaka, Kôichi Kitamura, Tamio Ôki",K-A
11265,Crime Coast,Action,,,,2015,"Crime Coast is a social strategy game that mixes elements of GTA, Clash of Clans, and Breaking Bad",,Rudy Strong,
11266,Rozen Maiden: Gebetgarten,Action,,,,2007,,,nan,
11267,Sengoku,"Action, Fantasy",6.5,25,,1991,,,"Moonmin, Tama",
11268,Quantaar,Action,,,,2022,,,Peter Liao,
11269,Owari no serafu: Bloody Blade,Action,6.8,10,,2015,,,nan,
11270,Strike Fighter,Action,,,,1991,,,nan,
11271,Galaxy Ranger,"Action, Sci-Fi",,,,1983,,,nan,
11272,Puzzle & Dragons Battle Tournament,Action,,,,2014,,,Hunter K. Scott,
11273,Oniken,"Action, Adventure, Sci-Fi",8,6,,2012,"In a post-apocalyptic future controlled by a sinister corporation, Ninja mercenary Zaku is the last hope for humanity. Inspired by the demanding gameplay of 8-bit action/platformers.",,nan,T
11274,"Dragongun: Firebrand, Gun of the Ark-Magi","Action, Fantasy, Horror",,,,1993,,,nan,
11275,Deadly Towers,"Action, Adventure, Fantasy",3.9,36,,1986,,,Mr.R. Nagasu,
11276,Defense Alliance 2,Action,,,,2009,,,nan,
11277,Guided Missile,Action,,,,1977,,,nan,
11278,Scuffle Royale,Action,,,,,,,PaperKitty,
11279,Cauldron,"Action, Fantasy",7.1,13,,1985,"As the witch, you must steal items from the pumpkin king while fending off enemies.",,nan,
11280,Apocalyptica,"Action, Fantasy, Sci-Fi",,,,2003,"In the future, the forces of holy cyberwarriors go to war against the invading forces of Neo-Satan in this third-person gothic Sci-Fi shooter inspired by the biblical Armageddon.",,"Barry Clayton, Sue Green, John Kearney, Mel Nicholson",M
11281,Radar Lock,Action,4,8,,1989,,,nan,
11282,Wuchang: Fallen Feathers,Action,,,,,,,nan,
11283,Triple Hunt,Action,,,,1977,,,nan,
11284,Gunnail,"Action, Sci-Fi",,,,1993,,,nan,
11285,Super Noah's Ark 3D,Action,1.7,46,,1994,Noah has to feed the animals in his Ark.,,nan,
11286,Tokio,Action,5.7,8,,1986,,,nan,
11287,Bugs Bunny,"Action, Adventure, Family",7.5,21,,1983,,,nan,Unrated
11288,TumblePop,"Action, Family, Fantasy",7.4,24,,1991,,,nan,
11289,GripShift,Action,6.9,11,,2005,,,Karen Strassman,E
11290,Gunslingers,Action,,,,2011,,,Thierry Perreau,
11291,Kaibutsu kuronikuru,Action,,,,2009,,,nan,
11292,Chrono Trigger Impossible,Action,,,,2012,,,nan,
11293,NHLPA Hockey '93,"Action, Sport",7.8,45,,1992,,,nan,
11294,Dread Hunger,"Action, Adventure, Thriller",,,,2022,"A game of survival and betrayal. Eight Explorers path their ship through the unforgiving Arctic. Among the crew, two traitors call on dark powers to undermine them.","Alex Quick, Paul Fox,","Colin Cassidy, Jonathan Cotton, Daniel Denova, Dan Eady",
11295,Bubble Bobble 2,"Action, Adventure",6.7,55,,1993,,,nan,
11296,The Textorcist,"Action, Adventure",,,120 min,2020,,"James Deighan,","Nate Flynn, Nick Mann, Andrew Marsh",
11297,Yie Ar Kung-Fu,Action,6.4,94,,1985,"An early ""Beat em-up"" Yie Ar Kung-Fu sees our hero venture across Japan battling various rivals to prove his dominance in the kung-fu world.",,nan,
11298,Gunmetal,"Action, Sci-Fi",,,,1998,"It's the far future and corporations rule the Earth. As a loyal employee of Nataka, your mission is to control an RPV (Remotely Piloted Vehicle.) You get your assignment, choose your hover tank, weaponry & armor & off you go. Along the way, galactic intregue, inter-corporate warfare and an other-worldly AI get between you and a comfortable retirement.",,nan,
11299,Silpheed: The Lost Planet,"Action, Fantasy, Sci-Fi",5.6,24,,2000,"Taking place many years after the terrorist attack by Zakarite, the Earth continues its space colony operations and populate many other planets. The planet Solont was densely populated by human colonists. After establishing a large civilization on Solont, an alien presence came into its solar system; wishing to establish communication with the visitors, the humans of Solont flew out to make first contact. However, once the welcoming fleet arrived, the aliens attacked and revealed their vessels to be an armada. Within minutes, a war between humans and the alien species broke out on Solont. The most recently developed model of the Silpheed space fighter, which one the war against Zakarite is sent to the human front line; its mission will be to save Solont - and possibly mankind - once more.","Kanta Watanabe, Masato Maegawa,","Robert Belgrade, Jack Evance, Ryan Drees, Taka Egawa",T
11300,Spirit Hunters Inc.: Shadow,"Action, Fantasy",,,,2012,,,nan,
11301,Glory of Heracles,Action,,,,2008,,,Toshinobu Kondo,E10+
11302,Daioh,"Action, Sci-Fi",,,,1993,,,nan,
11303,Donkey Kong Country 4,Action,,,,1997,,,nan,
11304,Lemmings Paintball,"Action, Sport",,,,1996,,,nan,
11305,Guilty Gear Isuka,"Action, Fantasy, Sci-Fi",5.4,34,,2004,"Isuka means ""crossbill"" in Japanese, which is the onomatopoeia of the sound made by two swords when they clash.","Masaomi Kikuchi,","Daisuke Ishiwatari, Takeshi Kusao, Satomi Kôrogi, Yûko Sumitomo",T
11306,A.P.B.,"Action, Comedy, Crime",5.5,31,,1987,A hectic Police driving game in you much catch a assortment of eccentric crooks.,,nan,
11307,Bubble Bobble Double Shot,"Animation, Action, Adventure",,,,2007,"Bub and Bob visiting their cousin Bubu and their grandfather, they find a treasure map and explore the island Bubu resides on.",,nan,E
11308,Stop the Saturnians!,Action,,,,2022,,"Jeff Sinasac,","Tonya Dodds, Jeff Sinasac",
11309,Barro 2020,"Animation, Action",,,,2019,,,nan,
11310,Nobunaga no yabou 201X,Action,,,,2015,,,nan,
11311,Warlords,"Action, Adventure",6.2,25,,1981,,,nan,Unrated
11312,Adventure Pop,Action,,,,2017,,,nan,
11313,Kureyon Shinchan UFO panikku!: Hashire! Kasukabe boueitai!!,Action,,,,2015,,,nan,
11314,Monster & Blade,Action,,,,2013,,,nan,
11315,Battle Clash,Action,5.1,11,,1992,,,"Makoto Kanoh, Masao Yamamoto",
11316,Yosaku to Donbei,Action,,,,1979,,,nan,
11317,Hashire! Nekomatsusan,Action,,,,2016,,,nan,
11318,Gladiux,"Action, Adventure",,,,2021,,,Adam Starcaster,
11319,G.I. Joe: A Real American Hero,"Action, Sci-Fi",7.5,24,,1992,,,Formula Jun,
11320,11x11 Online Football Manager 2017,Action,,,,2016,,,nan,
11321,Big Bang: Power Shooting,"Action, Sci-Fi",,,,1993,,,nan,
11322,Tranquillizer Gun,Action,4.2,11,,1980,,,nan,
11323,Disc Flow,Action,,,,2018,,,Antonio Casamassa,
11324,Thrust,Action,5.9,21,,1986,,,nan,
11325,Eternity the Last Unicorn,Action,,,,2019,Eternity: The Last Unicorn is a fully featured action RPG inspired by tales from Norse Mythology with classic game mechanics that bring a nostalgic feeling .,"John Gorman,","Danilo Castro, Fabio Gomes, Fabio Martins",
11326,Those Nights at Rachel's 2: Reloaded,"Action, Comedy, Horror",,,,2018,Those Nights at Rachel's 2: Reloaded is a first-person-shooter strategy game based off the popular series Five Nights at Freddy's by Scott Cawthon,,Nick Sita,
11327,Raw Data,"Action, Sci-Fi",7.3,12,,2017,"In 2271, the elite hacker resistance SyndiK8 sends four operatives to infiltrate the most massive and dangerous corporation in the world.","James Iliff,","Jim Singer, Tamara Ryan, Todd Haberkorn, Erik Braa",
11328,Emergency 2012,Action,7.3,7,,2010,,"Ralph Stock, David Riedel,","Andi Krösing, David Masterson, T. Nathan Roane, Sharon Ryba-Kahn",
11329,BangBang PewPew,Action,,,,2022,,,Tyler Fric,
11330,Containment,Action,,,,2013,A first-person shooter (FPS) centered around eliminating hostile forces that threaten to overrun the city.,,Diana Lestat,
11331,Aqua Jack,Action,5.7,9,,1990,,,Yoshinori Kobayashi,
11332,Pu-Li-Ru-La,"Action, Adventure, Fantasy",6.6,16,,1991,,,nan,
11333,Rurouni kenshin: Meiji kenkaku romantan - Kengeki kenran,Action,,,,2017,,,nan,
11334,End of the earth,"Action, Horror, Sci-Fi",7.8,29,12 min,2014,,"Vladislav Krivenchuk,","Vladislav Krivenchuk, Viktor Murzikov",
11335,Giana Sisters DS,"Action, Adventure",,,,2011,,,Mathias Reichert,
11336,Defender,"Action, Adventure, Sci-Fi",7,17,,1982,,,nan,Unrated
11337,Last Line of Retreat,Action,,,,2018,,,"SimplyUndrea, Wesley Armstrong, WuzGood, Sharon Lee",
11338,Echo Wars - Road Rage,"Action, Adventure, Sci-Fi",,,,2023,"The Echo brothers, two retired cybernetic clone troopers, enjoy their well-deserved retirement and the company of Meghan, their adorable enginurse, with whom they reminisce about their crazy past adventures.","Iván Cascales,","Jeffrey Pillars, Tamara Ryan",
11339,Laser Base,"Action, Sci-Fi",,,,1981,,,nan,
11340,Aggressors of Dark Kombat,Action,5.8,14,,1994,,"Takashi Hatono, Tsutomo Maruyama,","Michael Naishtut, Julie Oppenheimer",
11341,Godswar Mobile,Action,,,,2021,,,"Meagan Johnson, Max Noble, Bella Sapphire",
11342,Warukyûre no Bôken: Toki no Kagi Densetsu,"Action, Adventure, Fantasy",4.6,8,,1986,,,nan,
11343,The Southern Cross,"Action, Sci-Fi",,,,1979,,,nan,
11344,Geoff Capes Strongman,"Action, Sport",,,,1985,,,nan,
11345,Kanshakudama Nage Kantarô no Tôkaidô Gojûsan Tsugi,Action,,,,1986,"Players take the role of Kantarou, whose occupation is to make fireworks. He is currently traveling on the Tokaido highway starting in Kyoto trying to make his way home to Edo, where his girlfriend Momoko resides. However, this is a long walk home as the highway is made up of 53 stations. On top of the travel being lengthy, Kantarou has to deal with a merchant and his hired help who are out to kidnap him and learn his fireworks techniques.",,nan,
11346,Naruto Shippuden: Gekitou Ninja Taisen EX 3,Action,,,,2008,"It's the first time in Naruto game history that two completely different battle modes are combined into one game. While most players are used to the one to one fights, a new battle mode is introduced in this game and it gives you the pleasure of mowing down regiments of opponents in the battle field. Feeling particularly powerful? Feeling you can take on the world? Try this out. At the end of every stage, you will meet a boss. Deal with him/her in an one to one basis. A total of 35 characters are going to show up in the battle roster. First time in a Naruto game, you can join in a team with a partner and get involved in tag battles. With a pair to control, you can launch an array of combined attacks. Team up with different people and try out their various skills. Scenes are rendered in 3D and an original story is written for the game. Meet the characters in in their 3D forms fight them and adventure with them.",,"Chie Nakamura, Noriaki Sugiyama, Junko Takeuchi",
11347,Bleed 2,"Action, Adventure, Sci-Fi",6.7,8,,2017,"A furiously fun and fast-paced arcade action game, Bleed 2 welcomes back pink-haired heroine Wryn, the world's greatest - and only remaining - hero, as she fights to defend the globe from an invading force of villains. Master the art of air-dodging and bullet-reflecting to stylishly take down a relentless barrage of bad guys and bosses (and naughty kittys!), and make sure Wryn lives up to her title as the Greatest Hero of All Time.",,nan,T
11348,Mad Professor Mariarti,Action,,,,1990,"Professor Mariarti is, as the game title suggests, a mad scientist. Not all of his experiments worked out the way they should and now he needs to shut down the power in five of his labs (the first four can be tackled in any order). This plays out as a standard platformer: Mariarti jumps over gaps between platforms and dodges enemies (he can take a few hits before dying) until he reaches the end of the level, i.e. the off switch. At the start of the game, he only throws wrenches to defend himself, but as things progress he finds coins scattered around the labs. Those can be used to buy more advanced weapons like a laser cannon. However, killed enemies respawn after a short time. To proceed he also needs to solve a few puzzles by collecting items and bringing them to the correct place. There are also several switch puzzles.",,nan,
11349,Ring of Red,"Action, Adventure",7.2,21,,2000,"In a ""What-If"" scenario, World War II ends with Japan not surrendering and the U.S. not deploying nukes. It drags on for years, and eventually is split down the middle like Korea would be years later. The North is controlled by the Soviet Union, and the South is controlled by allies (with Germans for some reason). You take on the role of a half-German half-Japanese Masami Weizegar (spelling might be off) and lead a rag-tag guerrilla southern Japanese mech force through many pitched battles in the North as you attempt to retrieve a stolen mech.",,Masahiro Hinami,T
11350,Virtual Battlespace 2,Action,,,,2007,,,Marek Spanel,
11351,Robopon: Sun Version,"Action, Adventure, Family",,,,1998,,,nan,E
11352,Secret War,Action,,,,1978,,,nan,
11353,Crime Fighter,"Action, Crime",,,,1993,You are an aspiring gangster with the goal to make it to the top of the criminal underworld. Your methods in achieving that range from simple pickpocketing to kidnapping and train robberies among others. It is all your choice.,,nan,
11354,Lovely Planet Arcade,"Action, Fantasy, Sci-Fi",,,,2016,,,Vidhvat Madan,
11355,Monster Roll Cage,Action,,,,2004,,,nan,
11356,Just Cause 3: Mech Land Assault,"Action, Adventure, Crime",6.4,11,,2016,,,Roland Lesterlin,
11357,Space Cyclone,"Action, Sci-Fi",,,,1980,,,nan,
11358,Beam Invader,"Action, Sci-Fi",,,,1979,,,nan,
11359,Teleglitch,"Action, Adventure, Horror",6.2,6,,2013,"In a cold, dark future dominated by mega-corporations, You are a scientist who has suddenly awoken to the realization that you are the lone survivor.",,"Johann Tael, Mihkel Tael",
11360,Blood II: The Chosen - The Nightmare Levels,"Action, Adventure, Fantasy",4.6,7,,1999,,"Vic Merritt,","Stephan Weyte, Lani Minella, Mike Shapiro, Ted D'Arms",M
11361,Mission Escape!,"Action, Sci-Fi",,,,1981,,,nan,
11362,Appleseed,"Action, Fantasy, Sci-Fi",,,,1994,This is a shoot em up video game for the Super Famicom.,,Shingo Ootaka,
11363,Magical Girls War,Action,,,,2012,,,nan,
11364,Fox Monster,Action,,,,2007,"Some days you wake up and you're a giant monstrous fox. You are enraged at the humans for stealing you out of your home and family in the wild, ruining your perfectly happy fox life. You don't feel too bad wrecking their city.",,Brandon Vivian,
11365,Dragon Slayer: The Legend of Heroes,"Action, Fantasy",,,,1989,,,nan,
11366,Cyber Knights: Rage Inside the Machine,"Action, Sci-Fi",,,,1994,,,nan,
11367,Aladdin,"Action, Adventure, Family",6.7,17,,1994,"8-bit game based on Disney's Aladdin, produced for the Sega Game Gear and Master System.",,nan,GA
11368,Piggy Go,"Action, Adventure",,,,2019,,,nan,
11369,Asuka & Asuka,"Action, Sci-Fi",,,,1988,,,nan,
11370,Rainbow Six: Take-Down - Missions in Korea,"Action, Crime, Thriller",,,,2001,"In August 2003, one of the biggest drug trafficking operations in South Korea with about 550 kilograms of ecstasy is foiled due to an anonymous tip provided to the South Korean police.",,nan,
11371,Ken-Go,"Action, Fantasy",5.2,8,,1991,,,nan,
11372,Himiko den - renge,"Action, Adventure, Drama",,,,1999,,,nan,
11373,Gradius ReBirth,"Action, Adventure, Sci-Fi",,,,2009,"The classic side-scrolling shooter series is reborn with a new installment made for WiiWare, appropriately titled Gradius Rebirth.",,Masato Misaki,E
11374,Lili: Child of Geos,"Adventure, Action",,,,2012,,,nan,
11375,Mighty Monkey,"Action, Fantasy",,,,1982,,,nan,
11376,Crazy Climber,Action,5.8,42,,1980,Play human fly and scale a building while avoiding a wide variety of falling objects. Get picked up by a chopper at the top and do it all over again.,,nan,Unrated
11377,Draiocht,"Action, Adventure",,,120 min,2019,,"Peter McQuillan,","Nate Flynn, Nick Mann, Andrew Marsh",
11378,Dawn of Magic,"Action, Fantasy, War",4.1,18,,2005,,,Jay Simon,
11379,Line of Fire,Action,7,7,,1989,,,nan,
11380,Golly! Ghost!,"Action, Family, Fantasy",,,,1991,"Lightgunners Zip and Zap are planning to exterminate a house full of comical ghosts; but the ghosts never make it easy for them, was they travel through doors, ovens and dressers to prevent ANYONE from taking them away.",,nan,
11381,F-22 Air Dominance Fighter,Action,,,,1997,,,nan,
11382,America's Secret Operations,"Action, War",,,,2005,"You play as a member of the elite Task Force 121, the US military force responsible for the capture of Saddam Hussein.",,nan,
11383,Mutant Night,"Action, Sci-Fi",6.5,9,,1987,,,nan,
11384,Little Witch in the Woods,"Action, Adventure, Comedy",,,,2022,"Little Witch in the Woods tells the story of Ellie, an apprentice witch. Explore the mystical forest, help the charming residents, and experience the daily life of the witch.",,nan,
11385,Arrow Flash,"Action, Sci-Fi",5.6,17,,1990,A side-scrolling shoot-em-up where protagonist Zana Keene fights aliens in a mech suit that can morph into a ship.,,nan,
11386,The Last Arrow,Action,,,,2015,,,Nathan Moore,
11387,Kinect Fun Labs: BobbleHead,Action,,,,2011,,,nan,E
11388,Blade Strangers,Action,,,,2018,,,nan,T
11389,Fistmaster,Action,,,,2012,,,nan,
11390,One Piece: Adventure Log,Action,,,,2013,,,nan,
11391,Conquest,"Action, Sci-Fi",,,,1982,,,nan,
11392,Cyber Commando,"Action, Sci-Fi",,,,1994,,,nan,
11393,Ice Guys,Action,7.6,7,,1997,Two former antarctic explorers set out to chase some nasty creatures who took all the snowmen away.,,nan,
11394,Badlands,"Action, Adventure, Comedy",7.3,13,,1984,"Animated FMV light gun arcade that was later ported to LaserDisc. A gunslinger is after the gang who killed his family. He chases them into the badlands where human, animal and supernatural foes await.",,nan,
11395,Shadows: Heretic Kingdoms,"Action, Fantasy",,,,2014,"Shadows: Heretic Kingdoms is the next chapter in the Heretic Kingdoms saga and takes place 20 years after the events of Kult: Heretic Kingdoms. It's an epic adventure with challenging gameplay, a gripping storyline and enchanting graphics. In this isometric action RPG, the player takes on the role of the Devourer, a demon that swallows the souls of the dead and then brings them back into the mortal realm as his puppets. It's up to him to either thwart a major threat and save the world, or to plunge it into complete disaster.",,nan,
11396,Bogarash,"Action, Fantasy",,,,2016,"Set in the medieval Balkans, the player's ultimate goal is to defeat a ruthless bolyar seeking the throne. Bogarash is a hack and slash role-playing game using pre-rendered sprites in isometric perspective. It features: experience, inventory, dialogue, loot and skills systems. Fog of war and exploration. Room transitions and Zoom in/out. Save/Load and basic options. Localization.Ini file, support cyrillic script.",,"Reece Bridger, Adam Dube, Branden Floyd, Hirotoshi Hanzan",
11397,Legends of Dawn Reborn,"Action, Adventure, Fantasy",1.9,20,,2015,"Legends of Dawn Reborn invites players to the brutal northerly reaches of Narr. Survival depends on your magic, your sword, and your wits. Legends of Dawn Reborn takes place in a world of Narr and events take place before those from Wave of Darkness.",,nan,
11398,Sorim Story: Race World,Action,,,,2019,"Hop into the most exciting blend of automated racer and racing manager game. We re-imagined the racing battle and racing fight auto racing games and created pixel car racer simulator that is sure to entertain you to the fullest with its game play, uniqueness and super-interesting concept.","Nguyen Phat Hung,","Kimberly Adragna, Brimstone, Tom Greer, Stephen Zambito",
11399,WinBack 2: Project Poseidon,"Action, Mystery, Sci-Fi",6,22,,2006,"You play as the three Crisis Response Team members Craig Contrell, Nick Bruno and Mia Cabrera. Lead by your CO Jack Walcott, Your objective is to complete 30 missions of action, strategy, stealth, rescuing, escorting and various types of essential goals to stopping the terrorists. Will you succeed?","Takehiro Kubokawa,","Tom Petroulias, Mark Skoda, Terry Fraser-Reid, Alisha Ruiss",T
11400,Two Dots,"Action, Adventure, Family",,,,2014,,,nan,
11401,Urutora kaijuu: Batoru burîdâzu,Action,,,,2018,,,nan,
11402,Project Nimbus: Code Mirai,Action,,,,2018,Project Nimbus is a high speed mech action game set in a post apocalyptic world. Players control 'Battle Frames' - humanoid battle suits armed with an arsenal of weapons.,,"Amber Lee Connors, AmaLee, Josy Goe, Sheila M. Lin",
11403,Valkyrie Connect,Action,,,,2016,,,nan,
11404,N-Sub,Action,,,,1980,,,nan,
11405,Texting of the Bread,Action,,,,2010,,"Craig Skistimas,","Corey Pettit, James Rolfe",
11406,Meet the Miner - VR Experience,"Action, Adventure, History",,,,2018,,,"Johannes Reithmann, Stefan Domke, Thomas Hallet, David Ohrndorf",
11407,Project Aqua,Action,,,,2018,,,nan,
11408,The Samurai Kingdom,Action,,,,2013,,,nan,
11409,Castlevania Anniversary Collection,Action,,,,2019,,,nan,T
11410,Dead or Alive 5 Plus,"Action, Adventure",6.8,25,,2013,,,nan,M
11411,Shattered Stars: A Deepness Within,"Action, Sci-Fi",,,,2019,"The Shivans are in complete control of the galaxy and the entire universe. Many races begin vying for control, and an ensuing war will change the course of cosmic history forever.",,Bryan See,
11412,Team Kirby Clash Deluxe,"Action, Fantasy",5.2,20,,2017,,"Yumi Todo, Shinya Kumazaki,","Makiko Ômoto, Hirokazu Ando, Shinya Kumazaki",E
11413,Close Combat III: The Russian Front,"Action, Adventure",8.3,18,,1999,,,"Sergei Dreizin, Benjamin Jacobson, Jochen Liesche, Jeff Steitzer",E
11414,Journey Escape,Action,,,,1982,,,nan,Not Rated
11415,Go! Go! Beckham! Adventure on Soccer Island,"Action, Adventure, Fantasy",,,,2002,"David Beckham is called on to save Soccer Island from the evil Mister Woe, who has taken over the island. Using David Beckham's football skills, you must help your hero kick enemies and be the hero of Soccer Island.",,nan,E
11416,Release the Spyce: Secret Fragrance,Action,,,,2019,,,nan,
11417,Raid 2020,"Action, Sci-Fi",2.7,12,,1989,,,nan,
11418,Sengoku Barasa: Sanada Yukimura-den,Action,,,,2016,"Spinoff game focusing on the life of one of the series' main characters, Sanada Yukimura.",,nan,
11419,Spy Games: Elevator Mission,Action,,,,2007,,,nan,T
11420,DC Universe Online: Lightning Strikes,Action,,,,2011,,,nan,
11421,Apex Legends Season 5 Fortune's Favor Launch,Action,,,,2020,,,"David Lawson, Lisha Tan",
11422,Tiger Mission,"Action, Adventure",7.1,18,,1987,,,nan,
11423,Lasso,Action,,,,1982,,,nan,
11424,Sengoku Blade,Action,6.4,6,,1996,,,nan,
11425,Last Mech Standing,"Action, Sci-Fi",,,,,,,"Sarah Nightingale, Elizabeth Plant",
11426,Bomberman '93,Action,6.4,13,,1992,,,Shigeki Fujiwara,
11427,Stunt Cycle,Action,3.2,10,,1976,"Land the perfect jump by getting the right amount of speed. If you get too much, you will fall over.",,nan,
11428,International Soccer,"Action, Sport",6.7,16,,1983,,,Andrew Spencer,
11429,Celes Arca,Action,,,,2010,,,nan,T
11430,Space Fever,"Action, Sci-Fi",,,,1979,,,nan,
11431,Super Army War,Action,,,,2005,,,Olivier Denis,
11432,D-Day,"Action, War",,,,1982,,,nan,
11433,Booster Juice Games,Action,,,,2018,,,Raoul Bhatt,
11434,Tcheco in the Castle of Lucio,"Action, Adventure",,,,2015,,,nan,
